scene_id,im_id,obj_id,score,R,t,time
000002,000003,1,0.11436289548873901,-0.3263941620769675 0.879698438773778 0.3458287260784618 0.865376141791976 0.4252825820164874 -0.2650638765479436 -0.3802512119366722 0.21275662681187452 -0.9000797928896773,-471.65729355574797 186.5956288328968 1253.73973226224,-1
000002,000008,1,0.8682775497436523,0.9028010517917929 0.4242410969044838 0.07049647211678664 0.4218748183097259 -0.8418154541976257 -0.3367022107889719 -0.08349789554095516 0.33371579640665183 -0.9389685131403003,-27.135671337127395 -17.837690723452262 1113.2657932866261,-1
000002,000017,1,0.6952378749847412,0.8538171775183984 0.5162566327664746 -0.06689780638509141 0.18774863434498343 -0.42524166263162155 -0.8853925562505526 -0.4855375141800163 0.7434034015841705 -0.46000511392480736,116.22981400525681 -14.425992534678866 1143.8819643094168,-1
000002,000027,1,0.8273162841796875,0.8864850360551765 0.4574835935495858 0.06966378171768897 0.3063952713066729 -0.4674433954431165 -0.8292277188912106 -0.3467942020437521 0.7564426175788667 -0.5545523850271223,273.6183151626896 70.23919463567141 1208.8490851543968,-1
000002,000047,1,0.5398390293121338,-0.2202545687372579 -0.9714964895155143 -0.08764984774314893 -0.07050535990212281 0.10547715775960342 -0.9919191314900767 0.9728910109438966 -0.21229493646808495 -0.0917275355309135,-430.52549025350356 -338.80102266232245 2078.319329043534,-1
000002,000058,1,0.8690185546875,0.9223032439651955 0.08302442236588434 -0.3774436003724111 -0.3040746297386846 -0.4468934516357468 -0.841323280573152 -0.23852745276080697 0.8907262139265354 -0.38692565966027814,141.21680623920247 -37.2662596636924 1223.5804355824669,-1
000002,000061,1,0.8457484245300293,-0.24939483747051883 0.9039418351166613 -0.3474066403639636 0.4002521785263031 -0.23045019114690302 -0.8869559757875833 -0.881816539098696 -0.3602525060652301 -0.304331600800376,-223.60759624201367 -51.35821724226567 1383.446040381727,-1
000002,000069,1,0.8398890495300293,0.9567956198390573 0.19267095837855003 -0.21776143748213364 -0.20242063060077709 -0.09625576313312534 -0.9745566768386763 -0.20872956226653164 0.9765309671798182 -0.05309651565659812,149.57930905571305 132.60044245786196 1245.5546147495434,-1
000002,000079,1,0.9600174427032471,-0.004797994674738071 0.9739080826341726 -0.22689210172884117 0.5604433803976123 -0.18529266088227758 -0.8071987656034061 -0.8281788433759933 -0.13103311185725114 -0.5449313048278714,24.023181274387618 138.02894882156903 1004.8024026728264,-1
000002,000089,1,0.9434916973114014,0.2897426244832503 0.6903931061691294 -0.6628774928383825 0.06525648311175247 -0.7052245434631117 -0.7059744575472491 -0.9548773758810312 0.16129383823131033 -0.24938623614620048,-65.20062664075441 122.81593252198823 910.7153560641393,-1
000002,000096,1,0.9702291488647461,-0.5127121106838182 0.850705416602061 -0.11587314495627599 0.13216316154766117 -0.055150855130168486 -0.9896925188704511 -0.8483272896045907 -0.5227415014539454 -0.08415540606404259,160.040317433746 149.90928743537035 896.434129446864,-1
000002,000097,1,0.9643893241882324,-0.5843628081797783 0.7907595971080487 -0.1822618116824265 0.6913625123153456 0.3675353805948144 -0.6220414942558402 -0.42489761705763573 -0.489506898411597 -0.7614755488039004,283.91980482281946 68.8088614052836 856.1317031044935,-1
000002,000102,1,0.9541454315185547,-0.7291829072049825 0.6711437987535808 -0.1336349102394402 0.6190459619766419 0.5636966834271224 -0.546834660618433 -0.2916751357255266 -0.4814686391530353 -0.8265068449272639,152.1357485934702 92.93690970275979 898.586523287422,-1
000002,000107,1,0.9478983879089355,-0.7965242505944894 0.6017855611799204 -0.05833743712450336 0.5700063790240998 0.7152644958784128 -0.40433826038063014 -0.20159822937397381 -0.3553179411332452 -0.9127471252335504,-8.799772624199388 184.1659362737982 958.2962508868662,-1
000002,000110,1,0.9614624977111816,-0.5537975946285008 0.8170675736134942 -0.16033965302770195 0.6005452502870621 0.2585618306934111 -0.7566314704439155 -0.5767613254556315 -0.5153119054105278 -0.6338769703979112,90.1543722153849 128.20256940169477 948.1946339361056,-1
000002,000115,1,0.9629085063934326,-0.23908151296653224 0.9467851041086949 -0.2154947720839685 0.30578233489620066 -0.1372262056768645 -0.9421603537301697 -0.9215949185097873 -0.2911476173926528 -0.25670191090741756,-140.05590548030884 39.566300487258886 982.7868928240457,-1
000002,000119,1,0.9468774795532227,0.23141335229100424 0.9370417196230598 -0.26153522911320903 0.7334121340602713 -0.34466218224695955 -0.5859305605120138 -0.6391826828024978 -0.05622095529802834 -0.7669971982939565,215.29319795973 87.47556020771628 809.0791045202822,-1
000002,000124,1,0.9434916973114014,0.2048481036366937 0.9718193459216841 -0.11663795835318991 0.9596190969711061 -0.22287575723273978 -0.17163212276928727 -0.19279119057884692 -0.0767694973950129 -0.9782320793681363,70.40645676794435 185.5174557756412 968.4664526175346,-1
000002,000126,1,0.9566240310668945,0.39035690057521666 0.9184685383808894 -0.06353765952396234 0.8566948783660441 -0.38764398443423365 -0.3403028455851346 -0.33718744869093065 0.07840717656199561 -0.9381667970616294,175.2419253569487 125.7270895011033 932.5389247751494,-1
000002,000136,1,0.9458780288696289,0.033590876141308956 0.9075794839878468 0.4185345066830374 0.7532703707786315 0.2522356140725457 -0.6074215533716838 -0.656852648275915 0.33567346519765284 -0.6751799191438663,-100.05781082155028 151.15656849369893 911.6293638015732,-1
000002,000153,1,0.9624204635620117,-0.3447220063681058 0.9071984874168709 -0.24115895744112326 0.6076422306528156 0.019837263801766536 -0.7939630989486413 -0.7154981885741 -0.42023491929324597 -0.5580904539174463,97.19744514771372 -7.179244973068252 948.5361174172335,-1
000002,000156,1,0.9697411060333252,-0.25577079197785446 0.9667369674470107 -0.000968370992366574 0.5527173851169399 0.1454111487808265 -0.8205846025850916 -0.7931486582983758 -0.21041680917074562 -0.5715242534292737,-191.2789964710055 76.22811485736972 931.4537481618383,-1
000002,000162,1,0.9269964694976807,0.9009215868832723 0.4339664841242923 -0.0036585440446668394 0.3733288761769199 -0.7792802791885456 -0.5033366633579361 -0.2212822733528476 0.45210102535232405 -0.8640826455699553,162.47379522520689 164.12775322437562 952.4456512223054,-1
000002,000166,1,0.934145450592041,0.9986091170401507 0.051883352935293135 0.00937811561469537 0.046417347541368885 -0.7807797723938261 -0.6230797516111956 -0.0250052236845536 0.6226484278538228 -0.7821020867378174,160.25380046124002 100.52911324292937 909.4626754018977,-1
000002,000175,1,0.9227185249328613,0.96031821351467 0.27721092958384264 0.03070878231474788 0.2780068793618641 -0.9425631848456655 -0.18516699922252408 -0.02238534832140555 0.1863564946355725 -0.9822271392542927,160.89133839953092 209.01343067047716 921.6812513595536,-1
000002,000176,1,0.9400548934936523,0.9509772899414144 0.3090016450363871 0.012656120277941565 0.298411864248512 -0.9061040245050638 -0.29987640129135656 -0.08119453978815795 0.2889523838637323 -0.9538941065799995,121.24671381840673 124.29533711061984 953.1282243356515,-1
000002,000178,1,0.9367287158966064,-0.6508099670272975 0.6687194688204777 -0.3595283839120165 0.7510090073334389 0.49746051872569486 -0.4341871753209729 -0.1114982408918221 -0.5525823959642768 -0.8259666082526633,90.54377284231751 155.14161971421998 1033.124628737369,-1
000002,000203,1,0.9444408416748047,0.3002604686162975 0.9276947099041348 -0.22186972799867163 0.9077192787971662 -0.3493659145159975 -0.23235569430154512 -0.29306886884531724 -0.13162819982923057 -0.9469871462292625,111.97065700114692 158.13616725213342 863.2079664595802,-1
